134699,4,16.051077,1
134705,4,15.345233,1
134710,4,15.454776,1
134715,4,14.797687,1
134721,4,15.310545,1
134726,4,15.649137,1
134732,4,15.425743,1
134738,4,15.395645,1
134743,4,15.217084,1
134748,4,14.823946,1
134754,4,14.201192,1
134759,4,14.119789,1
134765,4,13.751788,1
134770,4,13.895784,1
134776,4,14.217122,1
134782,4,14.254766,1
134787,4,14.311815,1
134792,4,15.224764,1
134798,4,14.903453,1
134803,4,14.468964,1
134809,4,14.182345,1
134815,4,14.135458,1
134820,4,14.157819,1
134825,4,14.257169,1
134831,4,13.909500,1
134837,4,13.356873,1
134842,4,13.601727,1
134848,4,13.141627,1
134853,4,13.566233,1
134859,4,12.931561,1
134864,4,13.427365,1
134869,4,12.967606,1
134875,4,12.786132,1
134880,4,13.599508,1
134886,4,13.284558,1
134891,4,12.791388,1
134897,4,13.255063,1
134902,4,12.779039,1
134908,4,12.174029,1
134913,4,12.502441,1
134919,4,12.493598,1
134924,4,12.762177,1
134930,4,12.634397,1
134935,4,12.587372,1
134941,4,12.880292,1
134946,4,13.320338,1
134952,4,12.941782,1
134957,4,13.259562,1
134963,4,12.465532,1
134969,4,12.935076,1
134974,4,12.309687,1
134980,4,12.924036,1
134985,4,13.404101,1
134991,4,12.603204,1
134996,4,12.471469,1
135001,4,12.952196,1
135007,4,13.445808,1
135012,4,13.060837,1
135018,4,13.631670,1
135023,4,13.197650,1
135029,4,13.224637,1
135034,4,13.326162,1
135040,4,13.752466,1
135046,4,13.838338,1
135051,4,13.666086,1
135057,4,13.461990,1
135062,4,13.498446,1
135068,4,12.999080,1
135073,4,13.063354,1
135078,4,12.742344,1
135084,4,13.136136,1
135089,4,12.154908,1
135095,4,12.349303,1
135100,4,12.509659,1
135105,4,13.067335,1
135111,4,12.179860,1
135116,4,11.682821,1
135121,4,12.266143,1
135127,4,12.691557,1
135133,4,13.138636,1
135138,4,13.291448,1
135144,4,12.953192,1
135149,4,13.120610,1
135155,4,13.021059,1
135160,4,12.300513,1
135165,4,11.908126,1
135171,4,12.034807,1
135177,4,12.766007,1
135182,4,13.373444,1
135187,4,13.952296,1
135193,4,14.064044,1
135199,4,14.634844,1
135204,4,14.185008,1
135210,4,14.216795,1
135215,4,14.080152,1
135221,4,14.500148,1
135226,4,14.294783,1
135232,4,13.816920,1
135237,4,13.179324,1
135243,4,12.495634,1
135249,4,12.601408,1
135254,4,12.429363,1
135260,4,11.945153,1
135266,4,12.317753,1
135271,4,12.973516,1
135277,4,13.264974,1
135282,4,13.253558,1
135288,4,12.862000,1
135293,4,12.976166,1
135298,4,12.844322,1
135304,4,12.612864,1
